Fraser Health Authority;SL077114;6047032030;;;N;English;7040;Cheam;Avenue;Agassiz;V0M 1A2;49.2385;-121.7675;Provides non-emergency health care services on a walk-in basis.;Tue, Wed, Thu, 2 p.m. - 4 p.m. Hours vary, and clinic may be closed during regular days and hours. Please call ahead to confirm clinic is open.
Vancouver Coastal Health Authority;SL004037;6048227011;http://www.students.ubc.ca/livewelllearnwell/index.cfm;student.health@ubc.ca;Y;English;2211;Wesbrook;Mall ;Vancouver;V6T 2B5;49.265082;-123.244573;Offers confidential walk-in primary health care services. Treats common medical conditions such as gynecological issues, birth control, sexually transmitted diseases, sports injuries, infections, immunization needs and emotional problems.;Mon - Fri, 7:50 a.m. - 4 p.m. Well-Women exams only Wed, 4 p.m. - 8 p.m. (Sept-April)
Northern Health Authority;SL076416;2505669138;;;Y;;1445;5th;Avenue;Valemount;V0E 2Z0;52.83206;-119.270254;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8:40 a.m. - 11 a.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Broadway and Burrard Medical Clinic and Family Practice;SL061391;6047361888;;;Y;English;1816;Broadway;;Vancouver;V6J 1Y9;49.263671;-123.146184;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evening hours offered 7 days a week.;Mon - Sun, 9 a.m. - 9 p.m.
Care Point Medical Centres;SL066600;2504797147;;carepoint@cbi.ca;Y;English;777;Royal Oak;Drive;Victoria;V8X 4V1;48.498368;-123.381439;Provides general medical services on a walk-in basis. Evening clinic hours offered Monday - Wednesday and Friday. Saturday and Sunday hours also available.;Mon - Fri, 8 a.m. - 7 p.m. Sat, 9 a.m. - 4 p.m. Sun, 10 a.m. - 4 p.m.
FirstCare Medical Centre;SL061411;6048711535;;;Y;English;2590;Commercial;Drive;Vancouver;V5N 4C2;49.261542;-123.069778;Provides non-emergency health care services on a walk-in basis, no appointment is necessary. Evening clinic hours offered Monday - Friday. Saturday and Sunday hours are also available.;Mon - Wed, 9 a.m. - 9 p.m. Thu - Fri, 9 a.m. - 5 p.m. Sat, 10 a.m. - 5 p.m. Sun, 10 a.m. - 4 p.m. Please call to confirm hours.
Goldcity Walk-In Clinic;SL060379;2509926006;;goldcitywalkinclinic@yahoo.ca;Y;English;458;Reid;Street;Quesnel;V2J 2M6;52.98001;-122.497053;Provides non-emergency health care services on a walk-in basis. Saturday hours also available.;Mon - Sat, 2 p.m. - 6 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Bevan Avenue Walk-In Clinic;SL065358;2506564177;;;Y;English;2379;Bevan;Avenue;Sidney;V8L 4M9;48.647652;-123.401503;Provides non-emergency health care services on a walk-in basis.;Mon - Fri, 8 a.m. - 5:30 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Burnside Family Medical Clinic;SL061835;2503814353;http://www.burnsideclinic.ca;Walkin@BurnsideClinic.ca;N;English;101;Burnside;;Victoria;V9A 1B7;48.45081;-123.387382;Provides non-emergency health care services on a walk-in basis. Includes a family practice. Evenings hours offered Monday - Friday. Saturday, Sunday and statutory holiday hours also available.;Mon - Fri, 7:30 a.m. - 9 p.m. Sat - Sun, Holidays, 9 a.m. - 6 p.m. Please note that hours are subject to physician availability and patient volume. Clinics may stop accepting patients prior to the listed closing time.
Colwood Medical Treatment Centre;SL061823;2504788833;http://colwoodmedicaltreatmentcentre.com/;;N;English;1910;Sooke;Road;Victoria;V9B 1V7;48.441188;-123.470525;Provides non-emergency health care services on a walk-in basis. Evening hours offered Monday - Thursday. Saturday, Sunday and statutory holiday hours also available.;Mon - Thu, 9 a.m. - 8 p.m. Fri - Sun, Statutory Holidays, 9 a.m. - 5:30 p.m. Closed Christmas Day, New Year's Day and Canada Day (July 1st). Hours are subject to change. Please call to confirm.
